headline,date,stock
"Apple Reports Record Q4 Earnings, iPhone Sales Exceed Expectations",2023-10-26,AAPL
"Microsoft Azure Cloud Growth Accelerates in Q3",2023-10-24,MSFT
"Google Announces Major AI Breakthrough in Search Technology",2023-10-25,GOOGL
"Apple Faces Supply Chain Challenges in China",2023-11-15,AAPL
"Microsoft Secures Major Government Cloud Contract",2023-11-20,MSFT
"Google's New AI Model Shows Promising Results",2023-11-22,GOOGL
"Apple Stock Hits All-Time High After Product Launch",2023-12-01,AAPL
"Microsoft Expands AI Integration in Office Suite",2023-12-05,MSFT
"Google Faces Antitrust Lawsuit in Europe",2023-12-10,GOOGL
"Apple Announces New AI Features for iOS",2023-12-15,AAPL
"Microsoft's Gaming Division Reports Strong Growth",2023-12-20,MSFT
"Google's Cloud Business Shows Strong Momentum",2023-12-25,GOOGL
"Apple's New Chip Development Faces Delays",2024-01-05,AAPL
"Microsoft's AI Investments Pay Off in Q4",2024-01-10,MSFT
"Google's Search Market Share Continues to Grow",2024-01-15,GOOGL
"Apple Announces Major Expansion in India",2024-01-20,AAPL
"Microsoft's Security Solutions Gain Market Share",2024-01-25,MSFT
"Google's Advertising Revenue Surges",2024-01-30,GOOGL
"Apple's Services Business Reaches New Milestone",2024-02-05,AAPL
"Microsoft's Enterprise Software Sales Increase",2024-02-10,MSFT
"Google's AI Research Leads to Breakthrough",2024-02-15,GOOGL
"Apple's Wearables Division Shows Strong Growth",2024-02-20,AAPL
"Microsoft's Cloud Infrastructure Investment Pays Off",2024-02-25,MSFT
"Google's Mobile Search Dominance Continues",2024-02-28,GOOGL
"Apple's Privacy Features Impact Ad Revenue",2024-03-05,AAPL
"Microsoft's Teams Platform Reaches 300M Users",2024-03-10,MSFT
"Google's AI Ethics Committee Makes Recommendations",2024-03-15,GOOGL
"Apple's New Product Line Receives Positive Reviews",2024-03-20,AAPL
"Microsoft's AI Tools Show Promise in Healthcare",2024-03-25,MSFT
"Google's Cloud Security Features Get Industry Recognition",2024-03-30,GOOGL
